,id,Type,Region,tags.generator:method,power_output_MW,tags.generator:source,tags.generator:type,tags.power,tags.source,name,tags.alt_name,other_tags,geometry,Country
30837,9458224211,node,TR,wind_turbine,5.0,wind,horizontal_axis,generator,NULL,Evrencik RES Türbini,NULL,"{ ""tags.operator"": ""Evrencik Rüzgar Enerjisinden Elektrik Üretim Anonşm Şirketi"", ""tags.frequency"": ""50"" }",POINT (27.7350698 41.67564669999988),TR
30838,9458224215,node,TR,wind_turbine,4.0,wind,horizontal_axis,generator,NULL,Vize-2 RES Rüzgâr Türbini,NULL,"{ ""tags.operator"": ""Karayel Elektrik Üretim Anonim Şirketi"", ""tags.frequency"": ""50"" }",POINT (27.7642148 41.654926299999886),TR
30839,9458224216,node,TR,wind_turbine,4.0,wind,horizontal_axis,generator,NULL,Vize-2 RES Rüzgâr Türbini,NULL,"{ ""tags.operator"": ""Karayel Elektrik Üretim Anonim Şirketi"", ""tags.frequency"": ""50"" }",POINT (27.751791 41.630363299999885),TR
30840,9458227818,node,TR,wind_turbine,5.0,wind,horizontal_axis,generator,NULL,Evrencik RES Türbini,NULL,"{ ""tags.operator"": ""Evrencik Rüzgar Enerjisinden Elektrik Üretim Anonşm Şirketi"", ""tags.frequency"": ""50"" }",POINT (27.753825 41.68121329999989),TR
30841,9458227819,node,TR,wind_turbine,4.0,wind,horizontal_axis,generator,NULL,Vize-2 RES Rüzgâr Türbini,NULL,"{ ""tags.operator"": ""Karayel Elektrik Üretim Anonim Şirketi"", ""tags.frequency"": ""50"" }",POINT (27.7517579 41.65892099999989),TR
30842,9458227820,node,TR,wind_turbine,4.0,wind,horizontal_axis,generator,NULL,Vize-2 RES Rüzgâr Türbini,NULL,"{ ""tags.operator"": ""Karayel Elektrik Üretim Anonim Şirketi"", ""tags.frequency"": ""50"" }",POINT (27.7474715 41.63444739999989),TR
30843,9458227822,node,TR,wind_turbine,5.0,wind,horizontal_axis,generator,NULL,Evrencik RES Türbini,NULL,"{ ""tags.operator"": ""Evrencik Rüzgar Enerjisinden Elektrik Üretim Anonşm Şirketi"", ""tags.frequency"": ""50"" }",POINT (27.7371936 41.67259029999989),TR
30844,9458227823,node,TR,wind_turbine,4.0,wind,horizontal_axis,generator,NULL,Vize-2 RES Rüzgâr Türbini,NULL,"{ ""tags.operator"": ""Karayel Elektrik Üretim Anonim Şirketi"", ""tags.frequency"": ""50"" }",POINT (27.7241286 41.64640539999989),TR
30845,9458227825,node,TR,wind_turbine,4.0,wind,horizontal_axis,generator,NULL,Vize-2 RES Rüzgâr Türbini,NULL,"{ ""tags.operator"": ""Karayel Elektrik Üretim Anonim Şirketi"", ""tags.frequency"": ""50"" }",POINT (27.7319891 41.63667399999989),TR
30846,9458227828,node,TR,wind_turbine,4.0,wind,horizontal_axis,generator,NULL,Vize-2 RES Rüzgâr Türbini,NULL,"{ ""tags.operator"": ""Karayel Elektrik Üretim Anonim Şirketi"", ""tags.frequency"": ""50"" }",POINT (27.7579667 41.659572499999896),TR
30847,9458227830,node,TR,wind_turbine,4.0,wind,horizontal_axis,generator,NULL,Vize-2 RES Rüzgâr Türbini,NULL,"{ ""tags.operator"": ""Karayel Elektrik Üretim Anonim Şirketi"", ""tags.frequency"": ""50"" }",POINT (27.738253 41.6691540999999),TR
30848,9458227832,node,TR,wind_turbine,4.0,wind,horizontal_axis,generator,NULL,Vize-2 RES Rüzgâr Türbini,NULL,"{ ""tags.operator"": ""Karayel Elektrik Üretim Anonim Şirketi"", ""tags.frequency"": ""50"" }",POINT (27.7308866 41.6624091999999),TR
30861,9458957331,node,TR,wind_turbine,3.0,wind,horizontal_axis,generator,NULL,Zeliha RES Rüzgar Türbini,NULL,"{ ""tags.frequency"": ""50"" }",POINT (27.4969956 41.764718),TR
30877,9700955251,node,TR,wind_turbine,3.0,wind,horizontal_axis,generator,NULL,T17,NULL,"{ ""tags.manufacturer"": ""Vestas"", ""tags.height"": ""180"", ""tags.model"": ""V136"" }",POINT (28.030583099999962 41.6853878),TR
30878,9700955252,node,TR,wind_turbine,3.0,wind,horizontal_axis,generator,NULL,T16,NULL,"{ ""tags.manufacturer"": ""Vestas"", ""tags.height"": ""180"", ""tags.model"": ""V136"" }",POINT (28.025981099999964 41.6871335),TR
30879,9700955253,node,TR,wind_turbine,3.0,wind,horizontal_axis,generator,NULL,T30,NULL,"{ ""tags.manufacturer"": ""Vestas"", ""tags.height"": ""180"", ""tags.model"": ""V136"" }",POINT (28.034332499999962 41.6717173),TR
30880,9700955254,node,TR,wind_turbine,3.0,wind,horizontal_axis,generator,NULL,T31,NULL,"{ ""tags.manufacturer"": ""Vestas"", ""tags.height"": ""180"", ""tags.model"": ""V136"" }",POINT (28.056292599999963 41.6570153),TR
